    Ps have (part) atoms    1.0000
roof contractor    Roof contractors have residences    1.0000
roof rack    A roof rack is a carrier    1.0000
roof rat    Roof rats have senses    1.0000
rooftop    A rooftop is a top    1.0000
roofy    A roofy is a club drug    1.0000
rook    Rooks are part of chess    1.0000
rookery    A rookery is a breeding ground    1.0000
rookie    A rookie is a beginner    1.0000
room    Rooms are used for resting    1.0000
room key    Room keys are located in hotels    1.0000
room service    Room services are located in hotels    1.0000
roomette    Roomettes are compartments    1.0000
roommate    A roommate is a friend    1.0000
roost    Roosts are perchs    1.0000
rooster    Roosters eat seeds    1.0000
root    Roots contain milky juice    1.0000
root barrier    Root barriers are made of metal    1.0000
root beer    Root beers are located in cans    1.0000
root canal    Root canals are passage    1.0000
root cap    A root cap is a plant organ    1.0000
root cell    Root cells receive sugars from the leaves and also actively absorb salts from the soil    0.7960
root cellar    Root cellars are excavation    1.0000
root collar weevil    Root collar weevils defoliate entire trees    1.0000
root disease    Root diseases cause problems    1.0000
root ginger    Root gingers are a fibrous-rooted perennial plant which become dormant in Hawaii    0.7682
root hair    Root hairs increase the absorbing surface of the root    0.7262
root maggot    Root maggots tunnel in the seeds or the roots and stems of seedlings    0.7830
root plant    Root plants have float leaves    1.0000
root pressure    Root pressure is caused by active transport of mineral nutrient ions into the root xylem    0.7963
root rot    A root rot is a plant disease    1.0000
root surface    Root surfaces absorb water    1.0000
root system    Root system is the portion of a plant below the surface of the soil    0.8090
root tip    Root tip is the area of cell division    0.7923
root tuber    Root tubers develop when sections of the roots swell and bud    0.7471
root vegetable    A root vegetable is a vegetable    1.0000
root weevil    Root weevils cause damage    1.0000
root word    A root word is a form    1.0000
rootstock    Rootstocks directly affect the ability of plants to take up water and nutrients    0.7862
rope    Ropes have mass    1.0000
rope bridge    A rope bridge is a bridge    1.0000
rope burn    A rope burn is a scratch    1.0000
roper    A roper is a cowboy    1.0000
ropeway    A ropeway is transport    1.0000
rophic level    Trophic level refers to the organisms position in the food chain    0.7196
roping    Roping are labor    1.0000
rorqual    Rorquals have a broad, flat rostrum and a slightly curved jawline    0.7064
rorqual whale    Rorqual whales feed by gulping large concentrations of crustaceans and schooling fishes    0.7984
rosacea    A rosacea is acne    1.0000
rosary    Rosaries are beads    1.0000
rose hip    Rose hips are part of roses    1.0000
roseate spoonbill    Roseate spoonbills feed at day or night    0.7518
roseate tern    Roseate terns are terns    1.0000
rosebay    A rosebay is a rhododendron    1.0000
rosebud    A rosebud is a bud    1.0000
rosemaling    A rosemaling is decoration    1.0000
rosemary    Rosemaries have aroma    1.0000
rosemary oil    Rosemary oil is a strong antioxidant-which means it protects fats from being attacked by oxygen    0.8058
rosemary oleoresin    Rosemary oleoresin is oil soluble    0.8010
rosemary plant    Rosemary plants are killed by fire    0.7464
rosette    Rosettes have patterns    1.0000
rosette pattern    Rosette patterns vary from places    1.0000
rosolic acid    Rosolic acid inhibits bacterial growth in general, except for fecal coliforms    0.7852
roster    A roster is a list    1.0000
rosy boa    Rosy boas have particular requirements    1.0000
rosy boas    Rosy boas have long jaws and are capable of swallowing quite a large prey item    0.7361
rosy finch    Rosy finches catch insects    1.0000
rosy periwinkle    Rosy periwinkle produces chemicals to fight leukemia    0.7744
rot    A rot is decay    1.0000
rota    A rota is a roster    1.0000
rotary    A rotary is a junction    1.0000
rotary club    Rotary clubs are service clubs    1.0000
rotary dislocation    Rotary dislocations result from anteromedial or anterolateral force on the anterior tibia    0.7682
rotary engine    A rotary engine is ICE    1.0000
rotate blade    Rotate blades perform functions    1.0000
rotation    Rotation is isometries    1.0000
rotational acceleration    Rotational acceleration is when something rotates faster and faster or slower and slower    0.7317
rotational inertia    Rotational inertia is a resistance to change of rotation    0.7210
rotational motion    Rotational motion is observed when an object itself turns about some internal axis    0.7034
rotational nystagmus    Rotational nystagmus occurs while the person is spinning    0.7049
rotational process    Rotational processes involve molecules and occur with microwaves    0.7060
rotavirus    Rotaviruses are reoviruses    1.0000
roteinuria    Proteinuria is the name of a medical condition    0.7549
rotenone    Rotenone is a highly active but short-lived photosensitizer    0.7378
rotogravure    A rotogravure is gravure    1.0000
rotoplasm    Protoplasm are complex colloidal living substances of plant and animal cells    0.8483
rotor    Rotors are part of generators    1.0000
rotor blade    A rotor blade is a surface    1.0000
rottenstone    A rottenstone is limestone    1.0000
rotter    Rotter isa someone    1.0000
rotunda    Rotundas are buildings    1.0000
rouge    A rouge is makeup    1.0000
rough    A rough is a site    1.0000
rough childhood    Rough childhood has effects    1.0000
rough country    Rough countries have tendencies    1.0000
rough cut    A rough cut is a film    1.0000
rough terrain    Rough terrains are natural things    1.0000
rough water    Rough water is bad weather    1.0000
roughage    Roughage is foodstuff    1.0000
roughness    Roughness is texture    1.0000
roughrider    A roughrider is a horseman    1.0000
rouleaux formation    Rouleaux formation occurs when red blood cells form stacks or rolls    0.8139
roulette    Roulette is a wheel    1.0000
round dance    A round dance is a ballroom dance    1.0000
round flower    Round flowers have petals    1.0000
round goby    Round gobies are aggressive, pugnacious fish    0.7000
round lake community    Round lake communities have authority    1.0000
round melon    Round melons have orange flesh    1.0000
round robin    Round robins are tournaments    1.0000
round robin test    Round robin tests follow methods    1.0000
round rock police    Round rock police have cases    1.0000
round shape    Round shapes are shapes    1.0000
round top    A round top is a canvas    1.0000
round worm    Round worms live in ocean habitats    1.0000
roundabout    A roundabout is a ride    1.0000
rounder    Rounders have (part) cells    1.0000
roundness    Roundness is a property    1.0000
roundtable    A roundtable is a conference    1.0000
roundup    Roundups are ranching    1.0000
roustabout    A roustabout is a seaman    1.0000
rout    A rout is a defeat    1.0000
route    Routes are used by migrants    1.0000
routine    Routine requires conscious effort    1.0000
routine care    Routine care involves progress    1.0000
routine examination    Routine examinations confirm diagnoses    1.0000
routine urine examination    Routine urine examinations confirm diagnoses    1.0000
rove beetle    A rove beetle is a beetle    1.0000
rover    A rover is a Boy Scout    1.0000
row    Rows are used for propulsion    1.0000
row house    A row house is a house    1.0000
rowan tree    A rowan tree is mountain ash    1.0000
rowboat    Rowboats have accessories    1.0000
rowdy    A rowdy is an attacker    1.0000
rowdyism    A rowdyism is disorder    1.0000
rower    Rowers are capable of row boats    1.0000
rowing    Rowing are powerings    1.0000
royal    A royal is a sail    1.0000
royal blue    Royal blue is blue    1.0000
royal family    Royal families follow interpretations    1.0000
royal jelly    Royal jelly is a secretion from workers' glands    0.8196
royal line    A royal line is a house    1.0000
royal penguin    Royal penguins feed on krill    1.0000
royal tern    Royal terns have orange beaks, tufted black feathers on the back of the head and forked tails    0.7303
royalist    A royalist is a right-winger    1.0000
royalty    Royalty is houses    1.0000
rpm    Rpm isa rate    1.0000
rthopnea    Orthopnea is a particular type of shortness of breath that occurs when lying down flat    0.7329
rub    Rubs are contact    1.0000
rubato    A rubato is a tempo    1.0000
rubber    Rubber is contests    1.0000
rubber band    Rubber bands are located in desks    1.0000
rubber boot    Rubber boots are boots    1.0000
rubber bullet    A rubber bullet is a bullet    1.0000
rubber cement    Rubber cement is adhesive    1.0000
rubber company    Rubber companies have technology    1.0000
rubber eraser    Rubber erasers are part of pencils    1.0000
rubber glove    Rubber gloves protect the skin from adsorption of chemicals    0.7393
rubber latex    Rubber latex is extracted from rubber trees    0.8043
rubber plant    A rubber plant is a fig tree    1.0000
rubber stamp    Rubber stamps are tools    1.0000
rubber stamping    Rubber stampings are crafts    1.0000
rubber tire    A rubber tire is a tire    1.0000
rubber tree    Rubber trees live in areas    1.0000
rubbernecker    A rubbernecker is a spectator    1.0000
rubbing    Rubbings are representations    1.0000
rubbish    Rubbish isa waste    1.0000
rubbish dump    A rubbish dump is a site    1.0000
rubbish heap    A rubbish heap is a trash dump    1.0000
rube    A rube is a common man    1.0000
rubefacient    A rubefacient is medicine    1.0000
rubel    A rubel is an unit    1.0000
rubella    Rubella is a mild, highly contagious illness that is caused by a virus    0.7415
rubella vaccine    Rubella vaccines are vaccines    1.0000
rubella virus    Rubella virus can cause miscarriages, stillbirth or babies born with severe abnormalities    0.7397
rubidium    A rubidium is metal    1.0000
rubidium chloride    Rubidium chloride is the most common rubidium compound    0.7530
rubidium compound    Rubidium compounds makes a red-violet color in a flame    0.7748
ruble    A ruble is an unit    1.0000
rubric    A rubric is a rule    1.0000
ruby    Rubies function in producing laser beams, etc    0.7376
ruby grapefruit    Ruby grapefruit has peels    1.0000
ruckus    Ruckus is a disturbance    1.0000
rudder    A rudder is a surface    1.0000
rudeness    Rudeness is a manner    1.0000
rudiment    A rudiment is a body part    1.0000
rue    Rue is a street    1.0000
ruff    Ruffs breed in wetland meadows and inhabit fields and marshes in winter    0.7052
ruff lemur    Ruff lemurs live in areas    1.0000
ruffed lemur    Ruffed lemurs are the only primates that produce litters of young    0.8176
ruffle    A ruffle is a fighting    1.0000
rug    Rugs are used for warmth    1.0000
rugby    Rugbies have (part) second periods    1.0000
rugelach    A rugelach is pastry    1.0000
rugger    A rugger is a football    1.0000
rugose bone    Rugose bone is formed by bone growing up into the cartilaginous cap of hyaline cartilage    0.8437
rugose coral    Rugose corals have both major and minor septa    0.7680
ruguay    Uruguay isa thing    1.0000
ruin    A ruin is desolation    1.0000
rule    Rules affect government    1.0000
rule book    A rule book is a collection    1.0000
rule of evidence    Rules of evidence is rules    1.0000
rule of law    Rules of law are order    1.0000
rule of thumb    A rule of thumb is a rule    1.0000
ruler    Rulers are used for measures    1.0000
rulership    A rulership is a position    1.0000
rum    Rum is liquor    1.0000
ruman    Rumen inert fat sources include calcium salts of fatty acids and hydrogenated fats    0.7702
rumble    Rumble isa noise    1.0000
rumble seat    A rumble seat is a seat    1.0000
ruminant    Ruminants can utilize dietary starch, but very little of it is absorbed as glucose    0.7273
ruminant animal    Ruminant animals can use the nitrogen in nitrates to produce protein    0.7846
ruminant eosinophil    Ruminant eosinophils have many small very round orange granules    0.8059
ruminant herbivore    Ruminant herbivores ingest plant materials    1.0000
rumination    Rumination is chew    1.0000
rumor    Rumor is gossip    1.0000
rumormonger    A rumormonger is a communicator    1.0000
rumour    A rumour is gossip    1.0000
rump roast    A rump roast is a joint    1.0000
run    Runs are damage    1.0000
run time    Run time is runs    1.0000
runabout    Runabouts are motorboats    1.0000
runaway star    Runaway stars are massive stars traveling rapidly through interstellar space    0.7290
rundown    A rundown is a summary    1.0000
runei    Brunei isa thing    1.0000
rung    Rungs have (part) sections    1.0000
runner    Runners are humans    1.0000
runner bean    A runner bean is a green bean    1.0000
running    Running  car crashs    1.0000
running shoe    A running shoe is a shoe    1.0000
running time    Running time is time periods    1.0000
runny nose    Runny noses serve purposes    1.0000
runoff    Runoff is surplus    1.0000
runswick    Brunswick isa thing    1.0000
runt    A runt is a person    1.0000
runway    Runways are paved surfaces    1.0000
rupee    A rupee is an unit    1.0000
rupiah    A rupiah is an unit    1.0000
rupture    Rupture is the breaking of molecular bonds as a result of stress, fatique of the medium    0.7376
rural area    A rural area is a geographical area    1.0000
ruse    A ruse is a move    1.0000
rush    Rushes differ from grasses and sedges in that their fruits are capsules    0.7312
rush hour    A rush hour is a hour    1.0000
rushing    Rushing cause errors    1.0000
russet    A russet is homespun    1.0000
russian bank    Russian banks are solitaire    1.0000
russian boar    Russian boars have broad heads, sloping shoulders and tusks    0.7225
russian citizen    Russian citizens are people    1.0000
russian knapweed    Russian knapweed is toxic to livestock    0.7148
russian literature    Russian literature is literary work    1.0000
russian olive    Russian olive is a shrub or small tree that is a native of Eurasia    0.7166
russian roulette    Russian roulette is stunts    1.0000
russian soldier    Russian soldiers are soldiers    1.0000
russian tortoise    Russian tortoises are burrowers    0.7719
rust    Rusts generally infect healthy, vigorous plants in preference to weak plants    0.7171
rust fungi    Rust fungi infect mostly the leaves and stems of plants but sometimes attack flowers    0.8420
rust fungus    Rust fungi produce spores    1.0000
rust mite    Rust mites are mites    1.0000
rusting    Rusting is oxidation    1.0000
rustler    A rustler is a thief    1.0000
rustling    Rustling isa crime    1.0000
rusty blackbird    A rusty blackbird is a blackbird    1.0000
rusty crayfish    Rusty crayfish inhabit both pools and fast water areas of streams    0.7688
rusty iron    Rusty irons conduct electricity    1.0000
rusty water    Rusty water is caused by iron    0.7357
rut    A rut is routine    1.0000
rutabaga    A rutabaga is a turnip    1.0000
ruthenium    Ruthenium is immune to concentrated acids, but can be dissolved by household bleach    0.7060
ruthenium compound    Ruthenium compounds are used to color ceramics and glass    0.7959
ruthenium tetroxide    Ruthenium tetroxide is a potential staining agent    0.7277
rutherford    A rutherford is an emu    1.0000
rutherfordium    Rutherfordium is the first transactinide element     0.7920
rutile    A rutile is a mineral    1.0000
rya rug    A rya rug is a rug    1.0000
ryan    Bryan isa thing    1.0000
rye    Rye is cereal grass    1.0000
rye flour    Rye flour is the finely ground flour obtained by sifting rye meal    0.7481
rye grass    Rye grasses germinate in six days    0.7687
rye whiskey    Rye whiskey is whisky    1.0000
rye whisky    Rye whisky is whisky    1.0000
ryegrass    Ryegrasses tend to clump rather than form runners, as many other grasses do    0.7358
rypsin    Trypsin cleaves on the C-terminal side of arginine and lysine    0.8216
s    S is unit of time    1.0000
s wave    S waves are body waves that travel slower than P or primary waves    0.7036
sabbat    A sabbat is an assembly    1.0000
sabbatical    Sabbaticals are leaves    1.0000
sabbatical leave    A sabbatical leave is a leave    1.0000
sabbatical year    A sabbatical year is a sabbatical leave    1.0000
saber    A saber is a sword    1.0000
sabertooth    A sabertooth is a cat    1.0000
sable    Sables are fur    1.0000
sable antelope    A sable antelope is an antelope    1.0000
sable brush    A sable brush is a brush    1.0000
saboteur    A saboteur is a bad person    1.0000
sabra    A sabra is an inhabitant    1.0000
sabre    A sabre is a sword    1.0000
sac    Sacs are containers    1.0000
sac spider    Sac spiders are free-dwelling, aggressive hunters    0.7923
saccade    A saccade is eye movement    1.0000
saccate pollen    Saccate pollen is a primitive character for conifers    0.7388
saccharide    A saccharide is a molecule    1.0000
saccharin    A saccharin is sweetener    1.0000
sachet    A sachet is a bag    1.0000
sack    Sacks are white wine    1.0000
sackcloth    A sackcloth is cloth    1.0000
sacking    Sacking are fabric    1.0000
sacral agenesis    Sacral agenesis is a condition that exists when either part or all of the sacrum is absent    0.7381
sacral canal    Sacral canal is an opening continuous with the vertebral canal    0.7863
sacral dimple    Sacral dimples refer to the divots found on the lower backs of some infants    0.7204
sacral dysgenesis    Sacral dysgenesis is a specific anomaly related to diabetes    0.8002
sacral nerve    A sacral nerve is a nerve    1.0000
sacrament    Sacrament is part of tradition    1.0000
sacred cow    A sacred cow is an adult    1.0000
sacred scripture    Sacred scripture is a sacred writing    1.0000
sacred text    Sacred text is a writing    1.0000
sacred writing    A sacred writing is a writing    1.0000
sacredness    A sacredness is sanctity    1.0000
sacrifice    Sacrifices are films    1.0000
sacrificial coating    Sacrificial coatings are removeable protection-films that acts as barriers to defacement materials    0.7055
sacrificing    Sacrificings are buying    1.0000
sacrilege    A sacrilege is a violation    1.0000
sacristan    A sacristan is a caretaker    1.0000
sacrococcygeal tumor    Sacrococcygeal tumors can also present as bowel and bladder dysfunction    0.7114
saddle    Saddles are part of shoes    1.0000
saddle soap    Saddle soap is soap    1.0000
saddle sore    Saddle sore is gall    1.0000
saddleback    Saddlebacks are passes    1.0000
saddleback caterpillar    Saddleback caterpillars feed on various plants    0.7196
saddlebag    A saddlebag is a bag    1.0000
sadhu    A sadhu is a religious person    1.0000
sadism    Sadism is sexual pleasure    1.0000
sadist    A sadist is an offender    1.0000
sadomasochism    Sadomasochisms are masochism    1.0000
sadomasochist    A sadomasochist is an offender    1.0000
safari    Safaris are vacationing    1.0000
safari park    A safari park is a park    1.0000
safe food    Safe food includes orange    1.0000
safe harbor    A safe harbor is a step    1.0000
safe house    A safe house is a house    1.0000
safe sex    Safe sex is sexual activities    1.0000
safe storage    Safe storage requires levels    1.0000
safeguard    Safeguard is a step    1.0000
safehold    A safehold is an asylum    1.0000
safer sex    Safer sex is sexual activity without any transfer of semen, vaginal fluids, or blood    0.7364
safety    Safety is located in footballs    1.0000
safety catch    A safety catch is a guard    1.0000
safety curtain    A safety curtain is a curtain    1.0000
safety glass    Safety glass is glass    1.0000
safety hat    A safety hat is a helmet    1.0000
safety match    A safety match is a match    1.0000
safety net    Safety net is a guarantee    1.0000
safety pin    Safety pins are located in purses    1.0000
safety razor    A safety razor is a razor    1.0000
safety rule    Safety rules save life    1.0000
safety strap    Safety straps are made of elastic materials    1.0000
safety switch    Safety switchs are switchs    1.0000
safety valve    Safety valves are regulators    1.0000
safety zone    A safety zone is an island    1.0000
saffron    Saffron is a seasoning    1.0000
sag    A sag is an imprint    1.0000
sage    A sage is a herb    1.0000
sage grouse    A sage grouse is a grouse    1.0000
sagebrush    A sagebrush is a bush    1.0000
sagebrush buttercup    A sagebrush buttercup is a wild flower    1.0000
sagebrush lizard    Sagebrush lizards eat a wide variety of insects    0.7250
sagitta    Sagittas are constellations    1.0000
sago    A sago is sugar    1.0000
sago pondweed    Sago pondweed is made up of long, thread-like leaves that spread out like a fan    0.7029
saguaro    Saguaros bloom in summer    1.0000
saguaro branch    Saguaro branches provide homes    1.0000
saguaro cactus    Saguaro cacti live for years    1.0000
saguaro flower    Saguaro flowers provide nectar    1.0000
sahuaro    A sahuaro is a cactus    1.0000
saiga    Saigas have (part) sections    1.0000
saiga antelope    Saiga antelopes are valued for their fur, meat, and horns    0.7298
sail    Sails resist forces    1.0000
sailboat    Sailboats have (part) bases    1.0000
sailfish    Sailfishs are fish    1.0000
sailing    Sailing are boating    1.0000
sailing boat    A sailing boat is a sailing ship    1.0000
sailing ship    A sailing ship is a vessel    1.0000
sailing vessel    Sailing vessels are vessels    1.0000
sailivary gland    Sailivary glands are present in birds and well developed in species which consume dry food    0.7799
sailmaker    A sailmaker is a maker    1.0000
sailor    Sailors have bases    1.0000
sailplane    A sailplane is an aircraft    1.0000
saint    Saints are deity    1.0000
sainthood    Sainthoods are groups    1.0000
sake    Sake is alcohol    1.0000
saki    Saki isa alcohol    1.0000
salaam    A salaam is motion    1.0000
salad    Salad helps health    1.0000
salad bar    A salad bar is a bar    1.0000
salad dressing    A salad dressing is a sauce    1.0000
salad green    Salad green is greens    1.0000
salamander    Salamanders are characterized by slender bodies, short legs, and long tails    0.8392
salamander abundance    Salamander abundances increase over time    1.0000
salary    Salary is money    1.0000
sale    Sales are exchanges    1.0000
sale representative    Sale representatives visit departments    1.0000
sales contract    Sales contracts are contracts    1.0000
sales manager    Sales managers are business people    1.0000
sales person    Sales people are located in shops    1.0000
sales pitch    Sales pitch is located in demonstrations    1.0000
sales rep    A sales rep is an employee    1.0000
sales representative    A sales representative is an employee    1.0000
sales tax    A sales tax is an excise tax    1.0000
salesclerk    A salesclerk is a sales rep    1.0000
salesgirl    A salesgirl is a sales rep    1.0000
salesman    Salesmans are sellers    1.0000
salesmanship    A salesmanship is a skill    1.0000
salesperson    A salesperson is an employee    1.0000
saleswoman    A saleswoman is a sales rep    1.0000
salicylate    Salicylates are a family of drugs that reduce inflammation and pain    0.8251
salicylate metabolism    Salicylate metabolism occurs primarily by hepatic microsomal enzymes    0.7994
salicylate sensitivity    Salicylate sensitivity is a food intolerance    0.7586
salicylic acid    Salicylic acid is keratolytic, keratoplastic, antipruritic, and bacteriostatic    0.8250
salience    Salience is prominence    1.0000
salient    Salients are projections    1.0000
saline laxative    Saline laxatives act like a sponge to draw water into the colon for easier passage of stool    0.7469
saline solution    Saline solutions are liquids    1.0000
saline water    Saline water has a high concentration of many different salts, including calcium and magnesium    0.7463
salinity    Salinity is vital for animals that live in the ocean    0.7342
salinity fluctuation    Salinity fluctuations have growth    1.0000
salinity temperature    Salinity temperature affects survival    1.0000
salinity treatment    Salinity treatments use approaches    1.0000
salinometer    Salinometers determine salinity from the electrical conductivity produced by the dissolved salts    0.7024
saliva    Saliva comes from three pairs of salivary glands, plus many smaller glands    0.8349
saliva production    Saliva production decreases with age, which affects chewing, swallowing, and taste    0.7490
saliva test    Saliva tests show estrogens    1.0000
salivary amylase    Salivary amylase is produced by serous cells only in the parotid gland    0.8426
salivary cancer    Salivary cancers can also affect sensory nerves    0.7219
salivary flow    Salivary flow is decreased due to destruction of salivary glands    0.7914
salivary gland    Salivary glands supply the mouth with a liquid substance called saliva    0.8599
salivary insufficiency    Salivary insufficiency leads to difficulty in chewing    0.7383
salivary lysozyme    Salivary lysozyme has an antibacterial function    0.7741
salivary secretion    Salivary secretions are known to play an important role in the attack of aphids on plant tissue    0.8023
salivation    Salivation is secretion    1.0000
sally    Sally isa statement    1.0000
salmon    Salmon have taste    1.0000
salmon farm    Salmon farms use krill meat    1.0000
salmonberry    Salmonberries have (part) xylem    1.0000
salmonberry plant    Salmonberry plants reproduce both sexually and asexually    0.7656
salmonella    Salmonellas have (part) corpi    1.0000
salmonella poisoning    Salmonella poisoning can come from anything animal foods and their juices touch    0.7286
salmonid    Salmonids are salmon, trout and chars, eg bull trout    0.7189
salmonid fish    Salmonid fishes differ in their cortisol and glucose responses to handling and transport stress    0.7626
salon    A salon is a picture gallery    1.0000
salp    Salps are tunicates    1.0000
salpingectomy    Salpingectomy is the surgical removal of both fallopian tubes    0.7816
salsa    Salsa is sauces    1.0000
salsa music    Salsa music is music    1.0000
salt    Salt is used for seasons    1.0000
salt bond    Salt bonds are important type of chemical bonds in the hair    0.8337
salt brine    Salt brine is evaporated under pressure with added heat    0.7155
salt cod    Salt cods are cods    1.0000
salt concentration    Salt concentration reaches certain levels    1.0000
salt crystal    Salt crystals are abrasive and corrosive    0.7401
salt deficiency    Salt deficiency causes heat cramps, nausea and vomiting    0.7281
salt flat    A salt flat is a flat    1.0000
salt gland    Salt glands play roles    1.0000
salt intake    Salt intake causes consumption    1.0000
salt lake    Salt lakes are lakes    1.0000
salt marsh    Salt marshes are transition zones between the land and the sea    0.7505
salt marsh plant    Salt marsh plants play roles    1.0000
salt mixture    Salt mixture contains elements    1.0000
salt pond    Salt ponds are shallow, estuarine ecosystems that vary a great deal in size, shape, and salinity    0.7428
salt pork    Salt pork is pork    1.0000
salt shaker    A salt shaker is a shaker    1.0000
salt solution    Salt solutions contain mixture    1.0000
salt spray    Salt spray is a minute aerosol formed above heavy surf, generated when bubbles of saltwater break    0.7719
salt tolerance    Salt tolerance is directly related to the concentration of chloride ions in the foliage    0.7325
salt water    Salt water is located in oceans    1.0000
salt water plant    Salt water plants grow to height    1.0000
saltation    Saltation is a process where the sand grains bounce as they are transported by wind    0.7304
saltatory conduction    Saltatory conduction occurs in myelinated cells    0.7803
salter    A salter is a merchant    1.0000
saltine    A saltine is a cracker    1.0000
saltmarsh caterpillar    Saltmarsh caterpillars are general feeders, eating leaves of weeds and grasses    0.7907
saltpan    A saltpan is a basin    1.0000
saltwater    Saltwaters contain organisms    1.0000
saltwater crocodile    Saltwater crocodiles live in waterways throughout Australia's tropical north    0.8031
saltwater fish    Saltwater fish live in oceans and estuaries    0.7743
salty water    Salty water flows into oceans    1.0000
salutation    Salutation isa message    1.0000
salute    Salutes are recognition    1.0000
saluting    Salutings are gesturings    1.0000
salvage    Salvage is a property    1.0000
salvation    Salvation is a rescue    1.0000
salve    Salves are herbal oils hardened with beeswax and cocoa butter    0.7725
salvinia plant    Salvinia plants are floating ferns, there are only ten species in the world    0.7712
salwar    A salwar is a trouser    1.0000
samara    A samara is an achene    1.0000
samarium    Samariums are chemical elements    1.0000
samarium oxide    Samarium oxide is added to ceramics and glasses to increase absorption of infrared light    0.7890
samarskite    A samarskite is a mineral    1.0000
samba    A samba is a ballroom dance    1.0000
sambar    Sambars have (part) chest cavities    1.0000
same area    Same areas provide comfort    1.0000
same author    Same authors find differences    1.0000
same basic design    Same basic designs use optical instruments    1.0000
same effect    Same effects play roles    1.0000
same magnification    Same magnification uses microscopes    1.0000
same method    Same methods are used by farmers    1.0000
same person    Same people have responsibility    1.0000
same principle    Same principles apply to cases    1.0000
same specimen    Same specimens have ages    1.0000
same way child    Same way children play games    1.0000
samosa    Samosas are turnovers    1.0000
samovar    A samovar is an urn    1.0000
sampan    A sampan is a skiff    1.0000
sample    Samples are provided by teams    1.0000
sample calculation    Sample calculations use results    1.0000
sample distribution    Sample distribution is distribution    1.0000
sample test    Sample tests perform in laboratories    1.0000
sampler    A sampler is a station    1.0000
sampling    Sampling are measurements    1.0000
sampling rate    Sampling rates are rates    1.0000
samurai    A samurai is aristocracy    1.0000
san    Sans are rivers    1.0000
sanatorium    A sanatorium is a hospital    1.0000
sanctification    Sanctification is a religious ritual    1.0000
sanctimoniousness    A sanctimoniousness is hypocrisy    1.0000
sanction    Sanctions are approval    1.0000
sanctity    Sanctity is quality    1.0000
sand    Sand is used for sandboxs    1.0000
sand bank    Sand banks are shallow, sandy areas without much vegetation or sea life where dolphins often live    0.7619
sand bur    Sand burs are annuals that reproduce by seed    0.8128
sand cat    Sand cats are felines    1.0000
sand cherry    A sand cherry is a bush    1.0000
sand crab    Sand crabs are located in beachs    1.0000
sand dollar    Sand dollars are marine invertebrates that belong to the echinoderm family    0.8076
sand dune    A sand dune is a ridge    1.0000
sand eel    A sand eel is a bony fish    1.0000
sand fly    Sand flies are gnats    1.0000
sand grain    Sand grains are about the largest particles transported by the wind    0.7534
sand grouse    A sand grouse is a bird    1.0000
sand martin    Sand martins dig out burrows in sandy banks    0.7445
sand painting    Sand painting is a picture    1.0000
sand particle    Sand particles have diameters    1.0000
sand prairie    Sand prairie is dominated by grass    1.0000
sand skink    Sand skinks have limbs    1.0000
sand tiger    A sand tiger is a shark    1.0000
sand tiger shark    Sand tiger sharks have variation    1.0000
sand verbena    A sand verbena is a wild flower    1.0000
sand viper    Sand vipers have eyes    1.0000
sand worm    Sand worms excavate deep U-shaped tunnels    0.7839
sandal    Sandals have (part) heels    1.0000
sandalwood    A sandalwood is wood    1.0000
sandalwood oil    Sandalwood oil offers certain benefits    1.0000
sandbag    A sandbag is a bag    1.0000
sandbank    A sandbank is a bank    1.0000
sandbar    A sandbar is a bar    1.0000
sandbar shark    A sandbar shark is a shark    1.0000
sandbox    A sandbox is a toy    1.0000
sander    Sander isa machine    1.0000
sandfly    Sandflies are vermins    1.0000
sandglass    Sandglass is an instrument    1.0000
sandman    Sandmans are elf    1.0000
sandpaper    Sandpaper is devices    1.0000
sandpiper    Sandpipers are shorebirds    1.0000
sandstone    Sandstone isa material    1.0000
sandstorm    A sandstorm is windstorm    1.0000
sandwich    Sandwiches have (part) sauces    1.0000
sandwich plate    A sandwich plate is a dish    1.0000
sang    Sangs have (part) corpi    1.0000
sangria    A sangria is a drink    1.0000
sanguine    Sanguines are red    1.0000
sanicle    A sanicle is a herb    1.0000
sanitary condition    A sanitary condition is a condition    1.0000
sanitary cycle    Sanitary cycles are capable of killing dust mites, germs, and bacteria    0.7637
sanitary landfill    A sanitary landfill is a landfill    1.0000
sanitary napkin    A sanitary napkin is a pad    1.0000
sanitation    Sanitation is cleaning    1.0000
sanitization    A sanitization is a cleaning    1.0000
sanity    Sanity is mental health    1.0000
sannyasin    A sannyasin is a beggar    1.0000
sap    Sap feeding on beans causes leaves to be stunted, crinkles, and curled downward    0.7263
sap beetle    Sap beetles are beetles    1.0000
saphenous vein    A saphenous vein is a vein    1.0000
sapience    Sapience is power    1.0000
sapling    Saplings are trees    1.0000
saponification    Saponification is the reaction between a fat and a base that produces soap    0.8196
saponin    Saponins are a diverse group of nutrients found in a variety of plants    0.8297
sapphire    Sapphire occurs in many colors ranging from colorless to black    0.7237
saprobe    A saprobe is an organism    1.0000
saprobic basidiomycete    Saprobic basidiomycetes can decompose the complex polymer lignin, an abundant component of wood    0.8155
saprophyte    Saprophytes are organisms that act as rainforest decomposers    0.8433
saprophytic bacteria    Saprophytic bacteria feed off dead and decaying matter    0.8641
saprophytic mite    Saprophytic mites live off dead material    0.8365
sapsago    A sapsago is Swiss cheese    1.0000
